datetime,dayahead_SE3_el_price
2018-12-31 23:00:00,290.08
2019-01-01 00:00:00,103.15
2019-01-01 01:00:00,102.74
2019-01-01 02:00:00,46.71
2019-01-01 03:00:00,49.47
2019-01-01 04:00:00,82.87
2019-01-01 05:00:00,261.6
2019-01-01 06:00:00,401.11
2019-01-01 07:00:00,385.75
2019-01-01 08:00:00,220.43
2019-01-01 09:00:00,289.36
2019-01-01 10:00:00,197.59
2019-01-01 11:00:00,197.89
2019-01-01 12:00:00,166.04
2019-01-01 13:00:00,219.92
2019-01-01 14:00:00,334.84
2019-01-01 15:00:00,300.53
2019-01-01 16:00:00,309.23
2019-01-01 17:00:00,308.21
2019-01-01 18:00:00,302.98
2019-01-01 19:00:00,378.07
2019-01-01 20:00:00,339.45
2019-01-01 21:00:00,221.35
2019-01-01 22:00:00,41.38
2019-01-01 23:00:00,98.98
2019-01-02 00:00:00,64.49
2019-01-02 01:00:00,44.39
2019-01-02 02:00:00,89.9
2019-01-02 03:00:00,231.33
2019-01-02 04:00:00,441.64
2019-01-02 05:00:00,455.52
2019-01-02 06:00:00,506.54
2019-01-02 07:00:00,509.81
2019-01-02 08:00:00,517.77
2019-01-02 09:00:00,510.11
2019-01-02 10:00:00,512.77
2019-01-02 11:00:00,509.6
2019-01-02 12:00:00,509.91
2019-01-02 13:00:00,519.7
2019-01-02 14:00:00,534.5
2019-01-02 15:00:00,557.87
2019-01-02 16:00:00,567.15
2019-01-02 17:00:00,565.22
2019-01-02 18:00:00,560.22
2019-01-02 19:00:00,549.6
2019-01-02 20:00:00,537.87
2019-01-02 21:00:00,531.54
2019-01-02 22:00:00,517.97
2019-01-02 23:00:00,508.48
2019-01-03 00:00:00,499.19
2019-01-03 01:00:00,493.26
2019-01-03 02:00:00,494.18
2019-01-03 03:00:00,498.17
2019-01-03 04:00:00,506.54
2019-01-03 05:00:00,522.47
2019-01-03 06:00:00,550.44
2019-01-03 07:00:00,600.98
2019-01-03 08:00:00,603.84
2019-01-03 09:00:00,594.14
2019-01-03 10:00:00,627.63
2019-01-03 11:00:00,633.04
2019-01-03 12:00:00,644.48
2019-01-03 13:00:00,650.1
2019-01-03 14:00:00,675.21
2019-01-03 15:00:00,698.49
2019-01-03 16:00:00,710.13
2019-01-03 17:00:00,670.52
2019-01-03 18:00:00,628.04
2019-01-03 19:00:00,572.19
2019-01-03 20:00:00,555.85
2019-01-03 21:00:00,531.86
2019-01-03 22:00:00,510.32
2019-01-03 23:00:00,513.19
2019-01-04 00:00:00,493.64
2019-01-04 01:00:00,484.37
2019-01-04 02:00:00,484.17
2019-01-04 03:00:00,488.08
2019-01-04 04:00:00,499.91
2019-01-04 05:00:00,523.48
2019-01-04 06:00:00,538.4
2019-01-04 07:00:00,560.21
2019-01-04 08:00:00,557.54
2019-01-04 09:00:00,554.66
2019-01-04 10:00:00,545.5
2019-01-04 11:00:00,532.43
2019-01-04 12:00:00,530.99
2019-01-04 13:00:00,529.03
2019-01-04 14:00:00,531.92
2019-01-04 15:00:00,541.18
2019-01-04 16:00:00,548.9
2019-01-04 17:00:00,543.44
2019-01-04 18:00:00,532.94
2019-01-04 19:00:00,525.23
2019-01-04 20:00:00,519.16
2019-01-04 21:00:00,512.36
2019-01-04 22:00:00,504.44
2019-01-04 23:00:00,496.28
2019-01-05 00:00:00,487.05
2019-01-05 01:00:00,483.67
2019-01-05 02:00:00,481.72
2019-01-05 03:00:00,481.82
2019-01-05 04:00:00,485.1
2019-01-05 05:00:00,487.77
2019-01-05 06:00:00,494.23
2019-01-05 07:00:00,512.37
2019-01-05 08:00:00,519.95
2019-01-05 09:00:00,522.0
2019-01-05 10:00:00,522.92
2019-01-05 11:00:00,526.41
2019-01-05 12:00:00,530.3
2019-01-05 13:00:00,532.15
2019-01-05 14:00:00,545.47
2019-01-05 15:00:00,566.38
2019-01-05 16:00:00,572.63
2019-01-05 17:00:00,566.38
2019-01-05 18:00:00,551.42
2019-01-05 19:00:00,540.66
2019-01-05 20:00:00,531.94
2019-01-05 21:00:00,524.05
2019-01-05 22:00:00,514.62
2019-01-05 23:00:00,513.76
2019-01-06 00:00:00,500.89
2019-01-06 01:00:00,498.64
2019-01-06 02:00:00,497.11
2019-01-06 03:00:00,488.52
2019-01-06 04:00:00,497.72
2019-01-06 05:00:00,504.46
2019-01-06 06:00:00,507.22
2019-01-06 07:00:00,515.29
2019-01-06 08:00:00,527.96
2019-01-06 09:00:00,534.8
2019-01-06 10:00:00,539.09
2019-01-06 11:00:00,540.01
2019-01-06 12:00:00,535.72
2019-01-06 13:00:00,526.32
2019-01-06 14:00:00,526.83
2019-01-06 15:00:00,544.3
2019-01-06 16:00:00,564.43
2019-01-06 17:00:00,554.21
2019-01-06 18:00:00,540.42
2019-01-06 19:00:00,530.72
2019-01-06 20:00:00,526.83
2019-01-06 21:00:00,518.05
2019-01-06 22:00:00,510.18
2019-01-06 23:00:00,496.7
2019-01-07 00:00:00,490.16
2019-01-07 01:00:00,488.73
2019-01-07 02:00:00,479.74
2019-01-07 03:00:00,491.28
2019-01-07 04:00:00,509.47
2019-01-07 05:00:00,538.79
2019-01-07 06:00:00,580.16
2019-01-07 07:00:00,591.91
2019-01-07 08:00:00,581.28
2019-01-07 09:00:00,574.95
2019-01-07 10:00:00,567.6
2019-01-07 11:00:00,563.3
2019-01-07 12:00:00,553.29
2019-01-07 13:00:00,548.9
2019-01-07 14:00:00,544.0
2019-01-07 15:00:00,544.1
2019-01-07 16:00:00,541.44
2019-01-07 17:00:00,524.28
2019-01-07 18:00:00,519.89
2019-01-07 19:00:00,516.92
2019-01-07 20:00:00,511.1
2019-01-07 21:00:00,501.7
2019-01-07 22:00:00,477.59
2019-01-07 23:00:00,480.17
2019-01-08 00:00:00,474.03
2019-01-08 01:00:00,473.01
2019-01-08 02:00:00,473.42
2019-01-08 03:00:00,477.71
2019-01-08 04:00:00,489.58
2019-01-08 05:00:00,512.29
2019-01-08 06:00:00,524.87
2019-01-08 07:00:00,528.86
2019-01-08 08:00:00,526.61
2019-01-08 09:00:00,526.61
2019-01-08 10:00:00,523.85
2019-01-08 11:00:00,520.47
2019-01-08 12:00:00,517.91
2019-01-08 13:00:00,518.63
2019-01-08 14:00:00,518.53
2019-01-08 15:00:00,523.23
2019-01-08 16:00:00,522.21
2019-01-08 17:00:00,517.81
2019-01-08 18:00:00,511.27
2019-01-08 19:00:00,508.5
2019-01-08 20:00:00,506.25
2019-01-08 21:00:00,501.55
